"drug_A","drug_B","score"
"DB00242","DB00563",0.063
"DB00317","DB00773",0.063
"DB00331","DB01017",0.051
"DB00367","DB00481",0.059
"DB00398","DB00773",0.063
"DB00441","DB00762",0.063
"DB00441","DB00773",0.054
"DB00441","DB01204",0.062
"DB00441","DB00853",0.059
"DB00441","DB01262",0.052
"DB00530","DB00773",0.063
"DB00530","DB00544",0.063
"DB00541","DB01229",0.058
"DB00541","DB01248",0.063
"DB00541","DB00997",0.059
"DB00541","DB01204",0.063
"DB00541","DB00544",0.055
"DB00544","DB00762",0.06
"DB00544","DB01254",0.063
"DB00544","DB06589",0.062
"DB00544","DB00773",0.051
"DB00544","DB00619",0.055
"DB00544","DB05294",0.062
"DB00544","DB01204",0.059
"DB00544","DB00853",0.056
"DB00544","DB01262",0.049
"DB00619","DB01248",0.063
"DB00619","DB00773",0.055
"DB00635","DB01008",0.052
"DB00727","DB00877",0.053
"DB00762","DB01229",0.063
"DB00762","DB00773",0.06
"DB00763","DB00795",0.038
"DB00773","DB01229",0.053
"DB00773","DB01204",0.059
"DB00773","DB06589",0.062
"DB00773","DB01254",0.063
"DB00773","DB05294",0.062
"DB00773","DB08916",0.063
"DB00853","DB01229",0.058
"DB00853","DB01042",0.055
"DB00853","DB00987",0.051
"DB00928","DB01042",0.048
"DB00928","DB01229",0.052
"DB00928","DB01248",0.057
"DB00951","DB01222",0.049
"DB00970","DB00997",0.051
"DB00970","DB00987",0.042
"DB00987","DB01248",0.054
"DB00987","DB01042",0.046
"DB00993","DB01097",0.059
"DB01041","DB01097",0.047
"DB01042","DB08865",0.062
"DB01042","DB01229",0.053
"DB01042","DB06589",0.061
"DB01204","DB01229",0.062
"DB01262","DB05294",0.06
